order_id,date,product_name,quantity
657-01-0288,2022-05-09,Allspice - Jamaican,23
850-65-4623,2022-05-09,Soup - Chicken And Wild Rice,87
607-36-2580,2022-05-09,Spice - Onion Powder Granulated,93
152-67-5667,2022-05-09,Nantucket - Carrot Orange,83
406-09-0584,2022-05-09,Butcher Twine 4r,11
287-57-8078,2022-05-09,Mix - Cocktail Strawberry Daiquiri,77
821-99-9026,2022-05-09,Crab Brie In Phyllo,19
389-38-6726,2022-05-09,Compound - Mocha,81
279-29-0235,2022-05-09,Wine - Sogrape Mateus Rose,1
404-96-7707,2022-05-09,Water Chestnut - Canned,36
835-28-7625,2022-05-09,Danishes - Mini Cheese,58
