order_id,date,product_name,quantity
779-50-9916,2022-05-03,Pan Grease,47
689-79-8179,2022-05-03,"Loaf Pan - 2 Lb, Foil",52
208-47-6020,2022-05-03,Island Oasis - Peach Daiquiri,92
580-38-8406,2022-05-03,Pie Filling - Pumpkin,22
876-83-7939,2022-05-03,Veal - Ground,3
478-01-4019,2022-05-03,Garbage Bags - Clear,69
550-41-2024,2022-05-03,Cheese - Mascarpone,98
567-20-2116,2022-05-03,Marjoram - Fresh,76
852-34-5186,2022-05-03,Brandy - Bar,9
555-79-9605,2022-05-03,Chocolate - Chips Compound,90
288-08-5755,2022-05-03,Pomegranates,98
214-31-3523,2022-05-03,Muffin Mix - Lemon Cranberry,81
856-07-6950,2022-05-03,"Pasta - Bauletti, Chicken White",85
692-13-9677,2022-05-03,Shiro Miso,82
558-41-3999,2022-05-03,Juice - Lagoon Mango,81
457-21-6737,2022-05-03,"Artichoke - Hearts, Canned",49
281-50-9366,2022-05-03,Vol Au Vents,79
547-38-0102,2022-05-03,Rabbit - Legs,67
