order_id,date,product_name,quantity
589-30-1996,2022-05-02,"Pork - Chop, Frenched",47
456-20-4513,2022-05-02,Mace Ground,57
586-94-8119,2022-05-02,"Soup - Campbells, Chix Gumbo",54
828-02-9574,2022-05-02,"Beef - Rib Roast, Capless",18
442-98-0772,2022-05-02,Chocolate Bar - Reese Pieces,42
129-96-3522,2022-05-02,Cardamon Ground,31
564-58-3529,2022-05-02,Canada Dry,94
451-92-9125,2022-05-02,Salt - Celery,79
657-27-4998,2022-05-02,Urban Zen Drinks,89
665-19-5654,2022-05-02,Lady Fingers,66
139-15-9795,2022-05-02,Papadam,91
207-29-5996,2022-05-02,Leeks - Large,43
827-50-7326,2022-05-02,Bar Bran Honey Nut,53
