order_id,date,product_name,quantity
853-47-2358,2022-05-19,"Wine - Red, Black Opal Shiraz",1
637-22-6878,2022-05-19,Salt - Seasoned,23
661-07-6445,2022-05-19,Ketchup - Tomato,85
787-01-9334,2022-05-19,Baking Powder,95
468-10-8908,2022-05-19,Sugar - White Packet,14
744-01-8948,2022-05-19,Nori Sea Weed - Gold Label,39
406-09-0102,2022-05-19,Amaretto,39
899-87-1278,2022-05-19,Samosa - Veg,38
195-06-5626,2022-05-19,"Mushroom - Chantrelle, Fresh",43
822-77-1030,2022-05-19,Venison - Liver,74
699-13-9934,2022-05-19,Blueberries - Frozen,2
536-78-7975,2022-05-19,Cream Of Tartar,99
