order_id,date,product_name,quantity
807-42-4205,2022-05-14,"Tart Shells - Savory, 4",46
415-41-6535,2022-05-14,Wine - Lamancha Do Crianza,52
756-10-6485,2022-05-14,Scallops - In Shell,48
167-81-0665,2022-05-14,Chick Peas - Canned,56
266-98-2498,2022-05-14,"Coke - Diet, 355 Ml",89
241-71-1496,2022-05-14,Wood Chips - Regular,93
670-62-9981,2022-05-14,Tofu - Firm,40
616-70-0072,2022-05-14,Wine - Rubyport,22
432-03-8081,2022-05-14,Figs,100
518-62-2813,2022-05-14,Broom And Brush Rack Black,21
250-86-1113,2022-05-14,Yogurt - Assorted Pack,62
718-32-0438,2022-05-14,Oneshot Automatic Soap System,3
