order_id,date,product_name,quantity
168-22-3332,2022-05-06,Carbonated Water - Wildberry,26
672-44-2862,2022-05-06,Syrup - Monin - Granny Smith,39
717-35-2849,2022-05-06,Mcguinness - Blue Curacao,45
634-65-2020,2022-05-06,Rice - Sushi,94
544-61-6727,2022-05-06,Coffee - Frthy Coffee Crisp,50
164-71-3360,2022-05-06,"Asparagus - Green, Fresh",34
549-10-3867,2022-05-06,"Veal - Chops, Split, Frenched",69
584-43-1620,2022-05-06,Container - Clear 32 Oz,56
504-45-1414,2022-05-06,Grand Marnier,66
591-88-3059,2022-05-06,Cheese - St. Paulin,18
186-63-4550,2022-05-06,Baking Powder,44
560-85-6778,2022-05-06,Cheese - Ricotta,81
279-27-7346,2022-05-06,Juice - Prune,75
