order_id,date,product_name,quantity
617-82-0694,2022-05-17,Bagelers,52
798-06-1559,2022-05-17,Flavouring - Orange,29
203-48-7401,2022-05-17,Chicken - Livers,56
237-91-7300,2022-05-17,Cake - Cheese Cake 9 Inch,73
689-20-1339,2022-05-17,Ice Cream - Super Sandwich,78
448-58-1969,2022-05-17,"Quail - Eggs, Fresh",82
587-09-3454,2022-05-17,Onions - White,96
359-50-5694,2022-05-17,Bagels Poppyseed,68
615-82-6848,2022-05-17,"Iced Tea - Lemon, 460 Ml",29
117-21-4277,2022-05-17,Flour - Strong,72
140-93-3707,2022-05-17,Pastry - Banana Muffin - Mini,26
752-26-9297,2022-05-17,Syrup - Monin - Granny Smith,25
117-95-9123,2022-05-17,Cabbage - Green,80
743-27-0043,2022-05-17,Wine - Conde De Valdemar,1
611-26-3422,2022-05-17,"Mustard - Dry, Powder",85
