order_id,date,product_name,quantity
319-87-0556,2022-05-10,Milk - Skim,42
417-68-6812,2022-05-10,Pancetta,15
105-81-9228,2022-05-10,Longos - Lasagna Veg,8
672-88-5268,2022-05-10,Beef - Tenderloin,20
476-73-4730,2022-05-10,"Crab - Dungeness, Whole, live",19
728-25-7137,2022-05-10,Wine - Bouchard La Vignee Pinot,98
539-65-0508,2022-05-10,Cups 10oz Trans,54
813-77-0476,2022-05-10,Sugar - Splenda Sweetener,33
334-69-8895,2022-05-10,Neckerchief Blck,14
364-72-0001,2022-05-10,Pork Casing,23
427-24-9086,2022-05-10,"Pepper - Green, Chili",53
217-99-6764,2022-05-10,Kahlua,90
825-12-0062,2022-05-10,Sauce - Chili,97
